"fac","hospital_name","folder_name","filename","doc_date","source_url","download_date","file_size_kb","status","local_path"
"790","ST CATHARINES HOTEL DIEU","790_ST_CATHARINES_HOTEL_DIEU","2026-02-01_board_minutes.pdf","2026-02-01","https://www.hoteldieushaver.org/files/board_portal/FebruaryBoard2026minutes.pdf",NA,NA,"failed_request_error","roles/minutes/outputs/extracted/790_ST_CATHARINES_HOTEL_DIEU/2026-02-01_board_minutes.pdf"
"959","SUDBURY HEALTH SCIENCES NORTH","959_SUDBURY_HEALTH_SCIENCES_NORTH","2023-11-28_board_minutes.pdf","2023-11-28","https://hsnsudbury.ca/Portals/1/About_Us/Board_of_Directors/Board%20Meetings/2023-11-28_Board_Minutes_OpenSession.pdf?ver=LDxvM92YGcXkXOGo6pAyfA%3d%3d",NA,NA,"failed_request_error","roles/minutes/outputs/extracted/959_SUDBURY_HEALTH_SCIENCES_NORTH/2023-11-28_board_minutes.pdf"
"977","TERRACE BAY NORTH OF SUPERIOR HC","977_TERRACE_BAY_NORTH_OF_SUPERIOR_HC","2025-01-01_board_minutes_yearonly.pdf","2025-01-01","https://www.nosh.ca/upload/documents/bod-meeting-minutes/2024-25/5.-january-29-2025-bod-meeting-minutes.pdf",NA,NA,"failed_robots_disallowed","roles/minutes/outputs/extracted/977_TERRACE_BAY_NORTH_OF_SUPERIOR_HC/2025-01-01_board_minutes_yearonly.pdf"
"977","TERRACE BAY NORTH OF SUPERIOR HC","977_TERRACE_BAY_NORTH_OF_SUPERIOR_HC","2024-11-01_board_minutes.pdf","2024-11-01","https://www.nosh.ca/upload/documents/bod-meeting-minutes/2024-25/4.-november-27-2024-meeting-minutes.pdf",NA,NA,"failed_robots_disallowed","roles/minutes/outputs/extracted/977_TERRACE_BAY_NORTH_OF_SUPERIOR_HC/2024-11-01_board_minutes.pdf"
"977","TERRACE BAY NORTH OF SUPERIOR HC","977_TERRACE_BAY_NORTH_OF_SUPERIOR_HC","2024-10-01_board_minutes.pdf","2024-10-01","https://www.nosh.ca/upload/documents/bod-meeting-minutes/2024-25/3.-october-30-2024-bod-meeting-minutes.pdf",NA,NA,"failed_robots_disallowed","roles/minutes/outputs/extracted/977_TERRACE_BAY_NORTH_OF_SUPERIOR_HC/2024-10-01_board_minutes.pdf"
"977","TERRACE BAY NORTH OF SUPERIOR HC","977_TERRACE_BAY_NORTH_OF_SUPERIOR_HC","2024-09-01_board_minutes.pdf","2024-09-01","https://www.nosh.ca/upload/documents/bod-meeting-minutes/2024-25/2.-september-25-2024-bod-meeting-minutes.pdf",NA,NA,"failed_robots_disallowed","roles/minutes/outputs/extracted/977_TERRACE_BAY_NORTH_OF_SUPERIOR_HC/2024-09-01_board_minutes.pdf"
"977","TERRACE BAY NORTH OF SUPERIOR HC","977_TERRACE_BAY_NORTH_OF_SUPERIOR_HC","2024-01-01_board_minutes_yearonly.pdf","2024-01-01","https://www.nosh.ca/upload/documents/board-portal/meeting-packages/2024-25/1.-may-29-2024-inaugural-meeting-minutes.pdf",NA,NA,"failed_robots_disallowed","roles/minutes/outputs/extracted/977_TERRACE_BAY_NORTH_OF_SUPERIOR_HC/2024-01-01_board_minutes_yearonly.pdf"
"977","TERRACE BAY NORTH OF SUPERIOR HC","977_TERRACE_BAY_NORTH_OF_SUPERIOR_HC","2024-05-01_board_minutes.pdf","2024-05-01","https://www.nosh.ca/upload/documents/bod-meeting-minutes/2023-24/9.-may-29-2024-meeting-minutes.pdf",NA,NA,"failed_robots_disallowed","roles/minutes/outputs/extracted/977_TERRACE_BAY_NORTH_OF_SUPERIOR_HC/2024-05-01_board_minutes.pdf"
"977","TERRACE BAY NORTH OF SUPERIOR HC","977_TERRACE_BAY_NORTH_OF_SUPERIOR_HC","2024-04-01_board_minutes.pdf","2024-04-01","https://www.nosh.ca/upload/documents/bod-meeting-minutes/2023-24/8.-april-24-2024-bod-meeting-minutes.pdf",NA,NA,"failed_robots_disallowed","roles/minutes/outputs/extracted/977_TERRACE_BAY_NORTH_OF_SUPERIOR_HC/2024-04-01_board_minutes.pdf"
"977","TERRACE BAY NORTH OF SUPERIOR HC","977_TERRACE_BAY_NORTH_OF_SUPERIOR_HC","2024-03-01_board_minutes.pdf","2024-03-01","https://www.nosh.ca/upload/documents/bod-meeting-minutes/2023-24/march-27-2024-bod-meeting-minutes.pdf",NA,NA,"failed_robots_disallowed","roles/minutes/outputs/extracted/977_TERRACE_BAY_NORTH_OF_SUPERIOR_HC/2024-03-01_board_minutes.pdf"
